key,clientASN,clientASName,download,upload,latencyMs,loss,clientCity,clientCountry,serverPoP
"Accra, GH (to CDG)",14593,SPACEX-STARLINK,10832434.842975207,3546134.9297520663,115.6504132231405,0.0973578512760972,Accra,GH,CDG
"Accra, GH (to CDG)",37012,ComSysGH-AS,4775343.677142858,21231422.597142857,156.11471428571429,0.06300542909119806,Accra,GH,CDG
"Accra, GH (to CDG)",37030,Airtel-Ghana,7093190.382352941,7670963.823529412,580.6838235294117,0.006911764900638318,Accra,GH,CDG
"Accra, GH (to CDG)",37282,MAINONE,958131.8571428572,2939553.0714285714,167.70000000000002,0.1469999998807907,Accra,GH,CDG
"Accra, GH (to CDG)",37313,GGoC1-AS,33442107.972222224,13544254.75,68.75833333333334,0.04100000113248825,Accra,GH,CDG
"Accra, GH (to LHR)",14593,SPACEX-STARLINK,9475172.983333332,2418543.683333333,139.44666666666666,0.08413333181524647,Accra,GH,LHR
"Accra, GH (to LHR)",29614,GHANATEL-AS,29115497.475,34284748.9,103.8375,0.0,Accra,GH,LHR
"Accra, GH (to LHR)",30986,SCANCOM,13108925.098464318,15205882.319783198,356.64729448961157,0.015521409294577244,Accra,GH,LHR
"Accra, GH (to LHR)",37030,Airtel-Ghana,2890096.257142857,1778272.5857142857,207.32857142857142,0.00099999997764824,Accra,GH,LHR
"Accra, GH (to LHR)",394089,GCP-ENTERPRISE-USER-TRAFFIC,8537078.386363637,2701997.272727273,156.80113636363637,0.0035000000180760997,Accra,GH,LHR
"Accra, GH (to LIS)",14593,SPACEX-STARLINK,16853524.286764707,5104610.391402715,116.6200226244344,0.055260068063499854,Accra,GH,LIS
"Accra, GH (to LIS)",29614,GHANATEL-AS,7540769.285377358,6307987.889150944,259.93820754716984,0.02515566019112911,Accra,GH,LIS
"Accra, GH (to LIS)",33786,KNet,10046025.555555556,14607031.333333334,99.16666666666667,0.0260000005364418,Accra,GH,LIS
"Accra, GH (to LIS)",37030,Airtel-Ghana,4140181.6421686746,2566405.0674698795,184.7020481927711,0.05652289190245455,Accra,GH,LIS
"Accra, GH (to LIS)",37313,GGoC1-AS,18109301.208333332,32599918.520833332,89.02083333333333,0.035187499597668585,Accra,GH,LIS
"Amsterdam, NL (to FRA)",14593,SPACEX-STARLINK,24920595.658333335,6920816.620833334,40.72,0.011845833408167654,Amsterdam,NL,FRA
"Amsterdam, NL (to FRA)",19133,BIRD-HOSTING,190245266.4,276137832.55,8.855,0.0,Amsterdam,NL,FRA
"Amsterdam, NL (to FRA)",39832,NO-OPERA,6569028.342857143,2388262.5785714285,548.8414285714285,0.13356999902753156,Amsterdam,NL,FRA
"Amsterdam, NL (to FRA)",44444,Forcepoint-Cloud-AS,5219356.175675675,4927225.77027027,41.19189189189189,0.0,Amsterdam,NL,FRA
